Name,Ticker
Horizons Active Global Dividend ETF,HAZ.TO
iShares US Dividend Growers Index ETF (CAD-Hedged),CUD-A.TO
BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF,ZMT.TO
Horizons Active Emerging Markets Dividend ETF,HAJ-A.TO
Horizons Active Corporate Bond ETF,HAB.TO
iShares U.S. High Dividend Equity Index ETF,XHU.TO
Horizons Active Cdn Municipal Bond ETF,HMP.TO
BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,HFU.TO
iShares Gold Bullion ETF,CGL-C.TO
iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged),CHB-A.TO
iShares Core High Quality Canadian Bond Index ETF,XQB-A.TO
iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged),XFF.TO
BMO MSCI All Country World High Quality Index ETF,ZGQ.TO
Horizons Active High Yield Bond ETF,HYI-A.TO
BetaPro S&P 500 Daily Inverse ETF,HIU.TO
First Trust Short Duration High Yield Bond ETF (CAD-Hedged),FSD-A.TO
Horizons Enhanced Income Financials ETF,HEF-A.TO
BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF,ZMU.TO
iShares Edge MSCI Multifactor USA Index ETF,XFA.TO
PowerShares FTSE RAFI U.S. Fundamental (CAD Hedged) Index ETF,PXU.TO
BetaPro Silver -2x Daily Bear ETF,HZD.TO
Horizons S&P/TSX Capped Financials Index ETF,HXF.TO
Horizons Active Floating Rate Senior Loan ETF,HSL-A.TO
RBC Quant EAFE Equity Leaders (CAD Hedged) ETF,RHF.TO
BMO Equal Weight US Health Care Hedged to CAD Index ETF,ZUH.TO
iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged),XMH.TO
BMO High Yield US Corporate Bond Hedged to CAD Index ETF,ZHY.TO
First Asset Fund Corp. - First Asset Global Momentum (CAD hedged) Class ETF,FGM.TO
Horizons Active Floating Rate Preferred Share ETF,HFP-A.TO
Questrade Russell 1000 Equal Weight US Health Care Index ETF Hedged to CAD,QRH.TO
First Trust Short Duration High Yield Bond ETF (CAD-Hedged),FSD.TO
PowerShares QQQ (CAD Hedged) Index ETF,QQC.TO
Horizons Enhanced Income Equity ETF,HEX-A.TO
First Asset European Bank ETF,FHB.TO
iShares Core S&P/TSX Composite High Dividend Index ETF,XEI.TO
Horizons Natural Gas Yield ETF,HNY-A.TO
iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged),CHB.TO
BetaPro S&P 500 VIX Short-Term Futures ETF,HUV.TO
iShares Core Short Term High Quality Canadian Bond Index ETF,XSQ.TO
PowerShares Fundamental High Yield Corporate Bond (CAD Hedged) Index ETF,PFH.TO
BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,HFD.TO
Horizons Active Global Fixed Income ETF,HAF-A.TO
Horizons Managed Global Opportunities ETF,HGM-A.TO
FT Short Duration High Yield Bd Comm,FHY.TO
Horizons Natural Gas ETF,HUN.TO
Horizons S&P 500 Index ETF,HXS.TO
Horizons Enhanced Income Gold Producers ETF,HEP-A.TO
First Trust Senior Loan ETF (CAD-Hedged),FSL.TO
Horizons Managed Multi-Asset Momentum ETF,HMA-A.TO
BMO Floating Rate High Yield ETF,ZFH.TO
HORIZONS SP 500 INDEX ETF USD,HXS-U.TO
BetaPro S&P 500 -2x Daily Bear ETF,HSD.TO
HORIZONS ACTIVE US FLOATING RAT,HUF-U.TO
HORIZONS ENHD INCOME US EQUITY,HEA-U.TO
BetaPro NASDAQ-100 -2x Daily Bear ETF,HQD.TO
HORIZONS ACTIVE US FLOAT RATE B,HUF-V.TO
Horizons US 7-10 Year Treasury Bond ETF,HTB.TO
RBC Quant U.S. Equity Leaders (CAD Hedged) ETF,RHS.TO
