Stock Symbol,Date,Price,1day,3day,5day,10day,30day,Residual Std Dev,Upper Bound,Lower Bound,Type
AGI.TO,2017-10-26,8.04,0.0600000000000005,,,,,0.14847012419264,9.5383506209632,8.053649379036802,Low
WEED.TO,2014-12-05,2.16,0.020000000000000018,-0.16000000000000014,-0.2100000000000002,0.020000000000000018,-0.040000000000000036,0.06530271391331628,2.8465135695665813,2.1934864304334187,Low
WEED.TO,2015-01-26,2.01,-0.009999999999999787,-0.009999999999999787,-0.009999999999999787,-0.019999999999999796,0.13000000000000034,0.02673512047226739,2.2796756023613374,2.0123243976386633,Low
WEED.TO,2015-02-18,2.3,0.20000000000000018,0.20000000000000018,-0.05999999999999961,-0.1499999999999999,-0.19999999999999973,0.02644932261262371,2.1032466130631184,1.8387533869368815,High
WEED.TO,2015-02-19,2.5,-0.04999999999999982,-0.2999999999999998,-0.2799999999999998,-0.33999999999999986,-0.43999999999999995,0.09689536165942661,2.4854768082971335,1.5165231917028672,High
WEED.TO,2015-04-13,2.02,0.020000000000000018,0.020000000000000018,0.0,-0.020000000000000018,-0.1100000000000001,0.008837420438111447,2.1191871021905575,2.030812897809443,Low
WEED.TO,2015-04-29,1.97,0.039999999999999813,0.030000000000000027,-0.020000000000000018,-0.030000000000000027,-0.09999999999999987,0.010976743091137562,2.0838837154556877,1.974116284544312,Low
WEED.TO,2015-06-03,1.81,-0.010000000000000009,-0.040000000000000036,0.010000000000000009,-0.010000000000000009,0.11999999999999988,0.019316084259266036,2.0035804212963306,1.81041957870367,Low
WEED.TO,2015-06-24,2.05,-0.05999999999999983,-0.07999999999999985,-0.07999999999999985,-0.1399999999999999,-0.1399999999999999,0.013846780612593076,1.8752339030629657,1.7367660969370349,High
WEED.TO,2015-08-21,1.68,-0.16999999999999993,-0.07999999999999985,-0.040000000000000036,-0.11999999999999988,0.13000000000000012,0.022911423642656817,1.9625571182132842,1.733442881786716,Low
WEED.TO,2015-08-24,1.51,0.11999999999999988,0.11999999999999988,0.1299999999999999,0.1299999999999999,0.30000000000000004,0.036534458620138786,2.007672293100694,1.642327706899306,Low
WEED.TO,2015-09-16,1.84,-0.040000000000000036,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,0.0329504678773045,1.7657523393865227,1.4362476606134778,High
WEED.TO,2015-10-20,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-21,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-22,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-23,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-26,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-27,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-28,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-29,1.81,0.0,0.0,0.0,0.3599999999999999,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-10-30,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-02,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-03,1.81,0.0,0.0,0.0,0.0,0.9899999999999998,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-04,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-05,1.81,0.0,0.0,0.3599999999999999,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-06,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-09,1.81,0.0,0.3599999999999999,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-10,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-11,1.81,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-11-12,2.17,-0.3599999999999999,-0.3599999999999999,-0.3599999999999999,-0.3599999999999999,-0.3599999999999999,0.0,1.8100000000000003,1.8100000000000003,High
WEED.TO,2015-11-27,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-12-11,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-12-14,1.81,0.9899999999999998,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2015-12-15,2.8,-0.9899999999999998,-0.9899999999999998,-0.9899999999999998,-0.9899999999999998,-0.9899999999999998,0.0,1.8100000000000003,1.8100000000000003,High
WEED.TO,2016-01-04,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2016-01-18,1.81,0.0,0.0,0.8700000000000001,0.0,1.17,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2016-01-19,1.81,0.0,0.0,0.0,0.0,1.17,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2016-01-20,1.81,0.0,0.8700000000000001,0.0,0.0,1.1099999999999999,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2016-01-21,1.81,0.0,0.0,0.0,0.0,1.1400000000000001,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2016-01-22,1.81,0.8700000000000001,0.0,0.0,0.0,1.12,0.0,1.8100000000000003,1.8100000000000003,Low
WEED.TO,2016-01-25,2.68,-0.8700000000000001,-0.8700000000000001,-0.8700000000000001,-0.14000000000000012,0.19999999999999973,0.0,1.8100000000000003,1.8100000000000003,High
WEED.TO,2016-04-20,2.79,0.0,-0.10999999999999988,-0.16999999999999993,-0.22999999999999998,-0.16000000000000014,0.022191089302783167,2.589955446513916,2.3680445534860843,High
WEED.TO,2016-06-20,2.67,0.07000000000000028,0.18000000000000016,0.0,0.1299999999999999,0.9199999999999999,0.009214119599809535,2.655070597999048,2.562929402000952,High
WEED.TO,2016-06-21,2.74,0.11999999999999966,0.05999999999999961,-0.040000000000000036,0.04999999999999982,1.1099999999999999,0.018377522502582646,2.706887612512913,2.5231123874870867,High
WEED.TO,2016-06-22,2.86,-0.009999999999999787,-0.18999999999999995,-0.17999999999999972,-0.06999999999999984,1.27,0.03873972982180296,2.823698649109015,2.436301350890985,High
WEED.TO,2016-07-22,2.83,0.41000000000000014,0.20999999999999996,0.31999999999999984,1.06,1.02,0.011479934184850327,2.800399670924252,2.685600329075749,High
WEED.TO,2016-07-25,3.24,-0.040000000000000036,-0.1200000000000001,0.03999999999999959,0.79,0.7399999999999998,0.023290675291952515,2.864453376459763,2.6315466235402383,High
WEED.TO,2016-10-03,4.24,0.3099999999999996,0.6499999999999995,1.38,2.3499999999999996,9.209999999999999,0.039933834164912085,4.18466917082456,3.7853308291754395,High
WEED.TO,2016-10-04,4.55,0.4300000000000006,0.7300000000000004,0.9300000000000006,2.51,6.8500000000000005,0.07332606024539112,4.372630301226955,3.6393696987730446,High
WEED.TO,2016-10-05,4.98,-0.09000000000000075,0.6399999999999997,0.47999999999999954,2.2399999999999993,8.08,0.17023150903010376,4.910157545150519,3.2078424548494815,High
WEED.TO,2016-10-18,6.59,0.46999999999999975,0.23000000000000043,-0.6799999999999997,0.41000000000000014,4.699999999999999,0.2677479951164698,6.53673997558235,3.8592600244176514,High
WEED.TO,2016-10-19,7.06,0.16000000000000014,-0.5899999999999999,-0.79,0.020000000000000462,4.740000000000001,0.2519721324979331,6.692860662489665,4.173139337510334,High
WEED.TO,2016-10-20,7.22,-0.39999999999999947,-1.3099999999999996,-0.8799999999999999,-0.29000000000000004,4.13,0.3033496149476531,7.200748074738264,4.167251925261734,High
WEED.TO,2016-11-15,13.45,-2.049999999999999,-0.8499999999999996,-5.199999999999999,-2.16,-4.359999999999999,1.045553447276184,13.30476723638092,2.8492327636190797,High
WEED.TO,2017-02-06,11.63,-0.16000000000000014,0.4299999999999997,1.3699999999999992,1.17,-1.7800000000000011,0.17092025430981347,10.946601271549067,9.237398728450934,High
WEED.TO,2017-03-07,10.92,-0.4599999999999991,-0.08999999999999986,0.13000000000000078,-1.0700000000000003,-0.6799999999999997,0.22242124698667998,13.1981062349334,10.9738937650666,Low
WEED.TO,2017-04-17,9.61,0.0600000000000005,0.2599999999999998,0.19000000000000128,-0.4599999999999991,-1.959999999999999,0.1213711021802238,10.88985551090112,9.676144489098883,Low
WEED.TO,2017-05-10,7.78,0.7499999999999991,0.47999999999999954,0.35000000000000053,-0.1299999999999999,0.7800000000000002,0.22224483496060177,10.07122417480301,7.8487758251969915,Low
